Iss_Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Att_Age
62,1.63,2.12,2.68,3.24,4.24,5.22,6.09,7.10,8.46,10.14,11.89,13.68,15.62,18.03,21.10,24.84,29.11,33.74,39.19,45.28,52.27,59.31,67.48,76.96,87.87,100.29,87
63,1.69,2.41,2.95,3.62,4.72,5.67,6.60,7.77,9.33,11.17,13.00,14.90,17.15,19.98,23.52,27.83,32.83,38.39,44.71,51.75,59.31,67.48,76.96,87.87,100.29,114.02,88
64,1.76,2.72,3.29,4.09,5.26,6.18,7.19,8.55,10.31,12.31,14.24,16.29,18.88,22.14,26.13,31.12,37.06,43.66,51.18,59.31,67.48,76.96,87.87,100.29,114.02,128.76,89
65,1.83,3.05,3.72,4.62,5.89,6.78,7.91,9.46,11.43,13.65,15.73,17.99,20.97,24.66,29.12,35.10,42.41,50.14,58.75,67.48,76.96,87.87,100.29,114.02,128.76,144.17,90
66,1.93,3.35,4.19,5.22,6.60,7.50,8.77,10.52,12.74,15.26,17.63,20.20,23.61,27.79,32.76,39.79,48.73,57.78,67.48,76.96,87.87,100.29,114.02,128.76,144.17,159.79,91
67,2.06,3.63,4.71,5.90,7.30,8.35,9.77,11.75,14.30,17.24,20.04,23.21,26.96,31.69,37.24,45.32,55.69,65.94,76.96,87.87,100.29,114.02,128.76,144.17,159.79,175.30,92
68,2.23,3.92,5.27,6.66,8.07,9.32,10.91,13.18,16.32,19.68,23.08,26.87,31.15,36.68,42.96,52.22,63.81,75.42,87.87,100.29,114.02,128.76,144.17,159.79,175.30,190.25,93
69,2.41,4.19,5.85,7.45,8.93,10.28,12.11,15.04,18.54,22.38,26.71,30.99,36.46,42.86,50.84,60.94,74.06,87.04,100.29,114.02,128.76,144.17,159.79,175.30,190.25,203.94,94
70,2.59,4.41,6.38,8.21,9.69,11.24,13.60,17.08,20.74,25.22,30.76,36.30,42.68,50.52,59.16,70.86,85.79,100.29,114.02,128.76,144.17,159.79,175.30,190.25,203.94,218.45,95
71,2.78,4.62,6.93,8.99,10.50,12.56,15.41,19.04,23.33,28.87,35.82,42.56,50.11,58.75,67.43,81.45,98.11,114.02,128.76,144.17,159.79,175.30,190.25,203.94,218.45,235.54,96
72,3.01,4.90,7.55,9.90,11.75,14.28,17.40,21.36,26.78,33.59,42.11,49.94,58.42,67.28,79.18,95.56,112.86,128.76,144.17,159.79,175.30,190.25,203.94,218.45,235.54,253.92,97
73,3.30,5.31,8.37,11.07,13.39,16.27,19.90,24.45,31.08,39.19,49.69,58.35,67.20,78.00,93.41,111.93,128.76,144.17,159.79,175.30,190.25,203.94,218.45,235.54,253.92,273.64,98
74,3.65,5.86,9.37,12.50,15.22,18.66,22.99,28.34,36.22,45.73,58.19,67.13,77.53,91.65,108.77,127.96,144.17,159.79,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,99
75,3.99,6.42,10.44,14.17,17.42,21.52,26.60,32.99,42.24,53.01,66.84,77.14,90.91,107.84,126.69,144.17,159.79,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,100
76,4.24,6.83,11.26,15.64,19.59,24.28,30.18,38.43,48.97,60.81,76.46,89.99,107.32,126.31,144.17,159.79,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,101
77,4.42,7.13,11.91,16.91,21.46,27.05,33.75,44.56,56.24,69.32,88.55,105.91,125.47,144.17,159.79,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,102
78,4.61,7.47,12.67,18.28,23.43,29.97,37.78,50.32,63.25,78.93,102.53,122.95,143.48,159.79,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,103
79,4.78,7.80,13.45,19.74,25.52,32.60,41.98,55.30,70.08,89.81,118.04,141.66,159.79,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,104
80,5.07,8.34,14.72,21.90,28.33,36.23,47.46,61.70,80.04,104.19,135.37,159.79,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,105
81,5.54,9.21,16.68,25.02,32.42,41.40,55.05,72.28,94.85,125.34,155.65,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,106
82,6.24,10.50,19.46,29.31,38.22,48.80,65.69,88.25,117.04,152.45,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,107
83,7.27,12.50,23.82,36.00,47.19,61.04,82.30,113.08,148.82,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,108
84,8.57,15.11,29.54,44.82,59.35,78.13,105.78,140.92,175.30,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,109
85,10.25,18.42,36.78,56.17,75.65,100.97,133.91,167.51,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,110
86,12.32,22.63,46.13,71.55,97.66,129.69,165.42,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,111
87,14.55,27.50,57.18,90.24,124.30,163.40,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,112
88,16.83,32.62,69.54,111.42,153.75,190.25,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,113
89,19.34,38.13,83.50,136.22,182.90,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,114
90,23.37,52.47,113.46,172.67,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,115
91,31.59,79.88,165.78,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,116
92,46.10,117.11,203.94,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,117
93,68.04,150.88,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,118
94,98.17,192.89,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,119
95,137.03,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,120
